time,event,direction,price,lots,reason,realized_pnl,realized_pnl_cum,available_cash,margin_in_use,bar_index
2026-03-02 18:15:00,ENTRY,LONG,302649.0,2,C3_LONG + EMA_OK + BUFFER,0.0,0.0,2500000.0,453973.5,37
2026-03-02 19:15:00,EXIT,LONG,300344.0,2,STOP,-24858.979,-24858.979,2475141.021,0.0,41
2026-03-03 20:15:00,ENTRY,SHORT,266042.0,4,C3_SHORT + EMA_OK + BUFFER,0.0,-24858.979,2475141.021,798125.9999999999,73
2026-03-03 21:00:00,EXIT,SHORT,268856.0,4,STOP,-59489.388,-84348.367,2415651.6330000004,0.0,76
2026-03-04 19:30:00,ENTRY,SHORT,274221.0,5,C3_SHORT + EMA_OK + BUFFER,0.0,-84348.367,2415651.6330000004,1028328.75,130
2026-03-05 09:00:00,EXIT,SHORT,276016.0,5,STOP,-49001.7775,-133350.1445,2366649.8555000005,0.0,148
2026-03-05 11:30:00,ENTRY,SHORT,268100.0,5,C3_SHORT + EMA_OK + BUFFER,0.0,-133350.1445,2366649.8555000005,1005375.0,158
2026-03-05 12:15:00,EXIT,SHORT,271448.0,5,STOP,-87746.61,-221096.75449999998,2278903.2455000007,0.0,161
2026-03-05 18:15:00,ENTRY,SHORT,271500.0,5,C3_SHORT + EMA_OK + BUFFER,0.0,-221096.75449999998,2278903.2455000007,1018125.0,185
2026-03-06 09:00:00,EXIT,SHORT,273424.0,5,STOP,-52186.93,-273283.6845,2226716.3155000005,0.0,208
2026-03-06 15:00:00,ENTRY,SHORT,270300.0,5,C3_SHORT + EMA_OK + BUFFER,0.0,-273283.6845,2226716.3155000005,1013625.0,232
2026-03-06 20:30:00,EXIT,SHORT,273446.0,5,STOP,-82728.095,-356011.77949999995,2143988.2205000003,0.0,254
2026-03-10 09:00:00,ENTRY,LONG,281478.0,5,C3_LONG + EMA_OK + BUFFER,0.0,-356011.77949999995,2143988.2205000003,1055542.5,326
2026-03-11 11:30:00,EXIT,LONG,279000.0,5,STOP,-66153.585,-422165.36449999997,2077834.6355000003,0.0,394
2026-03-11 18:15:00,ENTRY,SHORT,272880.0,5,C3_SHORT + EMA_OK + BUFFER,0.0,-422165.36449999997,2077834.6355000003,1023300.0,421
2026-03-12 12:00:00,EXIT,SHORT,277854.0,5,STOP,-128480.505,-550645.8695,1949354.1305000004,0.0,454
2026-03-12 18:15:00,ENTRY,LONG,279716.0,4,C3_LONG + EMA_OK + BUFFER,0.0,-550645.8695,1949354.1305000004,839148.0,479
2026-03-12 19:45:00,EXIT,LONG,275621.0,4,STOP,-85232.022,-635877.8915,1864122.1085000006,0.0,485
2026-03-13 20:15:00,ENTRY,SHORT,264422.0,4,C3_SHORT + EMA_OK + BUFFER,0.0,-635877.8915,1864122.1085000006,793265.9999999999,545
2026-03-16 17:45:00,EXIT,SHORT,259112.0,4,STOP,103058.796,-532819.0955,1967180.9045000006,0.0,593
2026-03-17 17:15:00,ENTRY,SHORT,260889.0,2,C3_SHORT + EMA_OK + BUFFER,0.0,-532819.0955,1967180.9045000006,391333.5,649
2026-03-19 19:15:00,EXIT,SHORT,232373.0,2,STOP,283680.214,-249138.88150000008,2250861.118500001,0.0,773
2026-03-20 19:45:00,ENTRY,SHORT,228909.0,2,C3_SHORT + EMA_OK + BUFFER,0.0,-249138.88150000008,2250861.118500001,343363.5,833
2026-03-20 20:30:00,EXIT,SHORT,233099.0,2,STOP,-43286.024,-292424.90550000005,2207575.0945000006,0.0,836
2026-03-23 11:15:00,ENTRY,SHORT,212360.0,4,C3_SHORT + EMA_OK + BUFFER,0.0,-292424.90550000005,2207575.0945000006,637080.0,857
2026-03-23 13:15:00,EXIT,SHORT,211001.0,4,STOP,24639.834,-267785.0715000001,2232214.9285000004,0.0,865
2026-03-23 21:00:00,ENTRY,SHORT,226654.0,2,C3_SHORT + EMA_OK + BUFFER,0.0,-267785.0715000001,2232214.9285000004,339981.0,896
2026-03-23 23:00:00,EXIT,SHORT,229655.0,2,STOP,-31378.927,-299163.9985000001,2200836.0015000002,0.0,904
2026-03-24 10:30:00,ENTRY,SHORT,218822.0,4,C3_SHORT + EMA_OK + BUFFER,0.0,-299163.9985000001,2200836.0015000002,656465.9999999999,912
2026-03-24 11:00:00,EXIT,SHORT,221150.0,4,STOP,-49199.832,-348363.8305000001,2151636.1695000003,0.0,914
2026-03-24 15:15:00,ENTRY,LONG,231058.0,6,C3_LONG + EMA_OK + BUFFER,0.0,-348363.8305000001,2151636.1695000003,1039761.0,931
2026-03-24 17:45:00,EXIT,LONG,228237.0,6,STOP,-88763.655,-437127.48550000007,2062872.5145000003,0.0,941
2026-03-24 20:00:00,ENTRY,LONG,229110.0,6,C3_LONG + EMA_OK + BUFFER,0.0,-437127.48550000007,2062872.5145000003,1030995.0,950
2026-03-25 10:15:00,EXIT,LONG,240131.0,6,MONTH_END,326406.831,-110720.65450000006,2389279.3455000003,0.0,969
