time,direction,price,lots,reason,realized_pnl,available_after
2026-03-02 19:15:00,LONG,300344.0,2,STOP,-24858.979,2475141.021
2026-03-03 21:00:00,SHORT,268856.0,4,STOP,-59489.388,2415651.6330000004
2026-03-05 09:00:00,SHORT,276016.0,5,STOP,-49001.7775,2366649.8555000005
2026-03-05 12:15:00,SHORT,271448.0,5,STOP,-87746.61,2278903.2455000007
2026-03-06 09:00:00,SHORT,273424.0,5,STOP,-52186.93,2226716.3155000005
2026-03-06 20:30:00,SHORT,273446.0,5,STOP,-82728.095,2143988.2205000003
2026-03-11 11:30:00,LONG,279000.0,5,STOP,-66153.585,2077834.6355000003
2026-03-12 12:00:00,SHORT,277854.0,5,STOP,-128480.505,1949354.1305000004
2026-03-12 19:45:00,LONG,275621.0,4,STOP,-85232.022,1864122.1085000006
2026-03-16 17:45:00,SHORT,259112.0,4,STOP,103058.796,1967180.9045000006
2026-03-19 19:15:00,SHORT,232373.0,2,STOP,283680.214,2250861.118500001
2026-03-20 20:30:00,SHORT,233099.0,2,STOP,-43286.024,2207575.0945000006
2026-03-23 13:15:00,SHORT,211001.0,4,STOP,24639.834,2232214.9285000004
2026-03-23 23:00:00,SHORT,229655.0,2,STOP,-31378.927,2200836.0015000002
2026-03-24 11:00:00,SHORT,221150.0,4,STOP,-49199.832,2151636.1695000003
2026-03-24 17:45:00,LONG,228237.0,6,STOP,-88763.655,2062872.5145000003
2026-03-25 10:15:00,LONG,240131.0,6,MONTH_END,326406.831,2389279.3455000003
